ticker,fy,entry,fwd6,dd,fwd_vol,sector,score,true_fwd,fwd6_before
AXON,2024,0.9677,0.1365,-0.1164,0.1974,Industrials,0.1205,0.1735,0.1185
HIG,2024,0.8655,0.1440,-0.0645,0.2549,Financials,0.1182,0.0313,0.1208
DOC,2024,0.9197,0.1333,-0.0849,0.1576,Real Estate,0.1141,0.2384,0.1158
DUK,2024,0.8643,0.1200,0.0500,0.1726,Utilities,0.1087,0.1229,0.1175
BNY,2024,0.8497,0.1247,-0.0633,0.2447,Financials,0.0996,0.0616,0.1265
BBY,2024,0.8907,0.1163,-0.0577,0.1306,Consumer Discretionary,0.0978,0.1844,0.1082
HBAN,2024,0.7478,0.1489,-0.1386,0.1774,Financials,0.0975,0.3202,0.1107
GILD,2024,0.9117,0.1132,-0.0680,0.1428,Healthcare,0.0964,0.0135,0.1107
GL,2024,0.9405,0.0969,0.0500,0.2307,Financials,0.0961,0.0774,0.1017
IQV,2024,0.9011,0.1335,-0.2430,0.1704,Healthcare,0.0960,0.0710,0.1312
KO,2024,0.8422,0.1226,-0.0855,0.2293,Consumer Staples,0.0947,-0.0258,0.1137
LITE,2024,0.8900,0.1151,-0.0897,0.1749,Technology,0.0934,0.0415,0.1084
KMI,2024,0.9028,0.0998,0.0161,0.2147,Energy,0.0917,0.1563,0.1136
FOX,2024,0.8302,0.1112,-0.0078,0.2257,Communication,0.0915,0.0091,0.1116
TECH,2024,0.9114,0.1167,-0.1534,0.2425,Healthcare,0.0910,-0.0860,0.1079
LYV,2024,0.8859,0.0937,0.0500,0.2375,Communication,0.0880,-0.1031,0.1073
CDNS,2024,0.7100,0.1305,-0.0503,0.1071,Technology,0.0876,0.1530,0.1102
AIG,2024,0.8479,0.1030,-0.0110,0.2184,Financials,0.0862,0.3208,0.1295
AMZN,2024,0.9086,0.0929,0.0136,0.1807,Consumer Discretionary,0.0857,-0.2797,0.1068
CBRE,2024,0.9084,0.0912,0.0235,0.1951,Real Estate,0.0852,0.2067,0.1189
AIZ,2024,0.7801,0.1007,0.0500,0.1578,Financials,0.0836,0.3185,0.1176
AEE,2024,0.9432,0.0935,-0.0546,0.1444,Utilities,0.0828,0.2351,0.1040
IDXX,2024,0.8934,0.1028,-0.0979,0.0748,Healthcare,0.0820,-0.0101,0.1194
HD,2024,0.9277,0.0971,-0.0864,0.1083,Consumer Discretionary,0.0815,0.0553,0.1206
IEX,2024,0.8137,0.1077,-0.0650,0.1956,Industrials,0.0812,0.0267,0.1115
XYZ,2024,0.8417,0.0984,-0.0196,0.1829,Inc.,0.0809,-0.1261,0.1126
EQIX,2024,0.9259,0.0992,-0.1123,0.1104,Real Estate,0.0806,0.0328,0.1138
ABT,2024,0.8443,0.1023,-0.0618,0.1875,Healthcare,0.0802,-0.0133,0.1310
ED,2024,0.8154,0.0948,0.0273,0.1538,Utilities,0.0801,-0.1133,0.1047
FCX,2024,0.7193,0.1223,-0.0951,0.2606,Materials,0.0785,0.1045,0.1254
BAX,2024,0.9404,0.0781,0.0500,0.1278,Healthcare,0.0784,0.0597,0.1187
AEP,2024,0.7492,0.1265,-0.1656,0.2267,Utilities,0.0782,-0.0206,0.1067
CAH,2024,0.7314,0.1241,-0.1413,0.1536,Healthcare,0.0766,-0.1987,0.1179
HAL,2024,0.7026,0.1107,-0.0119,0.1855,Energy,0.0766,0.1405,0.1117
BG,2024,0.7100,0.1004,0.0500,0.2387,Consumer Staples,0.0763,0.1844,0.1031
FIX,2024,0.8611,0.1005,-0.1089,0.1242,Industrials,0.0756,0.0930,0.1151
CHRW,2024,0.8148,0.1022,-0.0777,0.1687,Industrials,0.0755,0.0758,0.1183
CME,2024,0.9208,0.0790,0.0248,0.2090,Financials,0.0752,-0.1075,0.1091
ELV,2024,0.8862,0.0993,-0.1321,0.2329,Healthcare,0.0748,-0.0076,0.1098
APD,2024,0.8444,0.0836,0.0393,0.1658,Materials,0.0745,0.0564,0.1091
MMM,2024,0.8427,0.0956,-0.0697,0.1842,Industrials,0.0736,-0.0169,0.1188
LII,2024,0.7240,0.1047,-0.0216,0.2548,Industrials,0.0736,0.0554,0.0980
CIEN,2024,0.9481,0.0849,-0.0741,0.1179,Technology,0.0731,0.0778,0.1174
EIX,2024,0.7100,0.1281,-0.1800,0.2876,Utilities,0.0729,0.0763,0.1113
CSGP,2024,0.7511,0.1149,-0.1342,0.2168,Real Estate,0.0729,0.0162,0.1218
FTV,2024,0.8184,0.1047,-0.1288,0.1881,Industrials,0.0728,0.2313,0.1072
LDOS,2024,0.8916,0.0852,-0.0327,0.1666,Industrials,0.0727,0.1270,0.1137
CVNA,2024,0.7850,0.0958,-0.0377,0.2152,Consumer Discretionary,0.0715,0.0706,0.1086
KHC,2024,0.8122,0.0837,0.0339,0.1587,Consumer Staples,0.0713,0.1318,0.1113
LOW,2024,0.7345,0.0956,0.0098,0.2055,Consumer Discretionary,0.0712,0.1324,0.1123
AMGN,2024,0.9556,0.0825,-0.0855,0.1510,Healthcare,0.0702,0.0393,0.1280
BLK,2024,0.9272,0.0727,0.0272,0.1541,Financials,0.0701,0.2262,0.1168
AES,2024,0.9288,0.0701,0.0500,0.1821,Utilities,0.0701,0.0028,0.1060
GEV,2024,0.9198,0.0768,-0.0068,0.1732,Industrials,0.0700,-0.0613,0.1218
KR,2024,0.7100,0.1084,-0.0792,0.2022,Consumer Staples,0.0690,-0.1469,0.1108
